SampleID,Project,SampleName,PMID,Genotype,Ecotype,Tissue,TotalReads,UniqueMappedRate,ReleaseDate,TissueClean,VegetativeRepro,AboveBelow,AT1G01010,PC1,PC2
ERX2055373,PRJEB21133,E-MTAB-5788:Sample 1,29114080,wild type,Col-0,inflorescence,12837684,0.804,11/3/2017,Inflorescence,Reproductive,Above,8.697071,-5.896907836204998,-11.635575485471282
ERX2055374,PRJEB21133,E-MTAB-5788:Sample 2,29114080,wild type,Col-0,inflorescence,13426761,0.7809999999999999,11/3/2017,Inflorescence,Reproductive,Above,7.819325,-8.161485278906,-17.41881016784844
ERX2055375,PRJEB21133,E-MTAB-5788:Sample 3,29114080,hws-1 mutant,Col-0,inflorescence,13640037,0.81,11/3/2017,Inflorescence,Reproductive,Above,9.265223,-10.819386079070568,-20.585693626408606
ERX2055376,PRJEB21133,E-MTAB-5788:Sample 4,29114080,hws-1 mutant,Col-0,inflorescence,14276618,0.8540000000000001,11/3/2017,Inflorescence,Reproductive,Above,8.262379,-17.012938827283964,-17.963022412126133
ERX2055377,PRJEB21133,E-MTAB-5788:Sample 5,29114080,hws-3 mutant,Col-0,inflorescence,13325015,0.775,11/3/2017,Inflorescence,Reproductive,Above,7.682087,-13.09182991227336,-19.242724342601914
ERX2055378,PRJEB21133,E-MTAB-5788:Sample 6,29114080,hws-3 mutant,Col-0,inflorescence,14666970,0.8859999999999999,11/3/2017,Inflorescence,Reproductive,Above,8.419475,-20.54358519424435,-20.703031948124202
ERX2055379,PRJEB21133,E-MTAB-5788:Sample 7,29114080,hws-3 mutant,MIM156,inflorescence,14870328,0.7709999999999999,11/3/2017,Inflorescence,Reproductive,Above,6.832382,-9.327090780686284,-18.830769992203454
ERX2055380,PRJEB21133,E-MTAB-5788:Sample 8,29114080,hws-3 mutant,MIM156,inflorescence,10143914,0.7559999999999999,11/3/2017,Inflorescence,Reproductive,Above,5.892861,-10.067379078339789,-19.71874494188464
ERX2055382,PRJEB21133,E-MTAB-5788:Sample 10,29114080,35S:HWS overexpressor,Col-0,inflorescence,11709049,0.802,11/3/2017,Inflorescence,Reproductive,Above,4.404358,-21.19595478045724,-26.608768072213756
ERX2244582,PRJEB23283,E-MTAB-6170:Sample 1,30720904,wild type,Col-0,siliques,43184671,0.921,11/14/2017,Other,Other,Other,7.268676,-51.166455504061325,-11.247819046207027
ERX2244583,PRJEB23283,E-MTAB-6170:Sample 2,30720904,wild type,Col-0,siliques,43184671,0.878,11/14/2017,Other,Other,Other,6.756973,-46.852921360148905,-14.928246907479549
ERX2244584,PRJEB23283,E-MTAB-6170:Sample 3,30720904,AtBUD13 heterozygous knockout,Col-0,siliques,43414066,0.918,11/14/2017,Other,Other,Other,9.223975,-52.725730230837534,-13.770943844198548
ERX2244585,PRJEB23283,E-MTAB-6170:Sample 4,30720904,AtBUD13 heterozygous knockout,Col-0,siliques,43414066,0.879,11/14/2017,Other,Other,Other,7.409314,-48.78528575346039,-17.591896955048007
ERX2258789,PRJEB23627,Sample 3_s,29576453,fmo1 mutant,Col-0,leaves,14745565,0.873,3/24/2018,Leaf,Vegetative,Above,2.502556,14.926439740021406,-100.9230149706419
ERX2258790,PRJEB23627,Sample 4_s,29576453,fmo1 mutant,Col-0,leaves,14884537,0.8809999999999999,3/24/2018,Leaf,Vegetative,Above,3.542652,12.923581251401295,-99.57005796160566
ERX2258791,PRJEB23627,Sample 7_s,29576453,fmo1 mutant,Col-0,leaves,16000000,0.769,3/24/2018,Leaf,Vegetative,Above,2.216303,17.11749170322002,-102.62410432726193
ERX2258792,PRJEB23627,Sample 8_s,29576453,fmo1 mutant,Col-0,leaves,13310334,0.879,3/24/2018,Leaf,Vegetative,Above,2.723877,18.26779111522449,-101.63695633101052
ERX2258793,PRJEB23627,Sample 11_s,29576453,fmo1 mutant,Col-0,leaves,16000000,0.884,3/24/2018,Leaf,Vegetative,Above,2.63923,16.46368111606951,-98.80565427499356
ERX2258794,PRJEB23627,Sample 12_s,29576453,fmo1 mutant,Col-0,leaves,16000000,0.875,3/24/2018,Leaf,Vegetative,Above,3.629421,10.142984070973544,-96.88891435560907
ERX2258795,PRJEB23627,Sample 1_s,29576453,wild type,Col-0,leaves,16000000,0.877,3/24/2018,Leaf,Vegetative,Above,1.892864,12.661820872194067,-99.4776374272444
ERX2258796,PRJEB23627,Sample 2_s,29576453,wild type,Col-0,leaves,16000000,0.882,3/24/2018,Leaf,Vegetative,Above,12.411334,9.461181539303672,-90.55862907120189
ERX2258797,PRJEB23627,Sample 5_s,29576453,wild type,Col-0,leaves,16000000,0.879,3/24/2018,Leaf,Vegetative,Above,2.606681,9.3614269653873,-97.85997169097043
ERX2258798,PRJEB23627,Sample 6_s,29576453,wild type,Col-0,leaves,11674224,0.88,3/24/2018,Leaf,Vegetative,Above,7.107337,16.86345817061225,-98.36042387854732
ERX2258799,PRJEB23627,Sample 10_s,29576453,wild type,Col-0,leaves,16000000,0.887,3/24/2018,Leaf,Vegetative,Above,13.179214,7.850487744713194,-89.56348230992057
ERX2258800,PRJEB23627,Sample 9_s,29576453,wild type,Col-0,leaves,16000000,0.861,3/24/2018,Leaf,Vegetative,Above,4.185822,13.709999996851778,-100.60360114291285
ERX2297582,PRJEB24412,Col0-9-days-16C-rep1,29988152,Other,Col-0,seedlings,55363396,0.948,5/3/2018,Seedling,WholePlant,WholePlant,6.908656,-23.77686867354939,-51.60884106203925
ERX2297583,PRJEB24412,Col0-9-days-16C-rep2,29988152,Other,Col-0,seedlings,49071763,0.947,5/3/2018,Seedling,WholePlant,WholePlant,5.728333,-12.329475004901049,-55.95243417120265
ERX2297584,PRJEB24412,Col0-9-days-16C-rep3,29988152,Other,Col-0,seedlings,51853894,0.846,5/3/2018,Seedling,WholePlant,WholePlant,3.858121,-12.395549404486486,-57.158145533941564
ERX2297585,PRJEB24412,Col0-9-days-23C-rep1,29988152,Other,Col-0,seedlings,46920425,0.951,5/3/2018,Seedling,WholePlant,WholePlant,4.869668,-22.631876846229634,-61.00807740841152
ERX2297586,PRJEB24412,Col0-9-days-23C-rep2,29988152,Other,Col-0,seedlings,45107165,0.953,5/3/2018,Seedling,WholePlant,WholePlant,4.309224,-21.032052588946463,-62.30904149230819
ERX2297587,PRJEB24412,Col0-9-days-23C-rep3,29988152,Other,Col-0,seedlings,44413781,0.951,5/3/2018,Seedling,WholePlant,WholePlant,4.387298,-21.329913277095265,-62.51963135428736
ERX2297588,PRJEB24412,col0-9-days-16C+3-days-23C-rep1,29988152,Other,Col-0,seedlings,42340804,0.941,5/3/2018,Seedling,WholePlant,WholePlant,4.521005,-21.287457364244545,-64.58657934988472
ERX2297589,PRJEB24412,col0-9-days-16C+3-days-23C-rep2,29988152,Other,Col-0,seedlings,44691756,0.95,5/3/2018,Seedling,WholePlant,WholePlant,5.460001,-22.844242669669264,-62.98132473035386
ERX2297590,PRJEB24412,col0-9-days-16C+3-days-23C-rep3,29988152,Other,Col-0,seedlings,47929272,0.945,5/3/2018,Seedling,WholePlant,WholePlant,4.474548,-22.160532729728068,-63.305593411118245
ERX2297591,PRJEB24412,col0-9-days-23C+3-days-16C-expA-rep1,29988152,Other,Col-0,seedlings,23137550,0.8190000000000001,5/3/2018,Seedling,WholePlant,WholePlant,4.275541,-16.95170518781453,-71.24383607442695
ERX2297592,PRJEB24412,col0-9-days-23C+3-days-16C-expA-rep2,29988152,Other,Col-0,seedlings,24292855,0.8290000000000001,5/3/2018,Seedling,WholePlant,WholePlant,4.627336,-17.6749830757649,-71.58967313688468
ERX2297593,PRJEB24412,col0-9-days-23C+3-days-16C-expA-rep3,29988152,Other,Col-0,seedlings,25914416,0.825,5/3/2018,Seedling,WholePlant,WholePlant,5.025771,-19.972520987433878,-69.85541111393998
ERX2297594,PRJEB24412,col0-9-days-23C+3-days-16C-rep1,29988152,Other,Col-0,seedlings,72150164,0.954,5/3/2018,Seedling,WholePlant,WholePlant,5.502278,-26.699652549905654,-62.70565271093116
ERX2297595,PRJEB24412,col0-9-days-23C+3-days-16C-rep2,29988152,Other,Col-0,seedlings,45197701,0.954,5/3/2018,Seedling,WholePlant,WholePlant,5.482699,-19.39765468522837,-67.4338981658848
ERX2297596,PRJEB24412,col0-9-days-23C+3-days-16C-rep3,29988152,Other,Col-0,seedlings,36317335,0.953,5/3/2018,Seedling,WholePlant,WholePlant,4.908475,-15.72688121465777,-70.06858708307537
ERX2297597,PRJEB24412,col0-9-days-23C+3-days-27C-expA-rep1,29988152,Other,Col-0,seedlings,23239503,0.8490000000000001,5/3/2018,Seedling,WholePlant,WholePlant,5.134453,-19.924701499261637,-72.03543683802738
ERX2297598,PRJEB24412,col0-9-days-23C+3-days-27C-expA-rep2,29988152,Other,Col-0,seedlings,23551234,0.8540000000000001,5/3/2018,Seedling,WholePlant,WholePlant,5.520079,-22.678234041711345,-70.29600473803295
ERX2297599,PRJEB24412,col0-9-days-23C+3-days-27C-expA-rep3,29988152,Other,Col-0,seedlings,15994406,0.855,5/3/2018,Seedling,WholePlant,WholePlant,3.96605,-12.716727679736962,-73.41062277916738
ERX2297600,PRJEB24412,col0-12-days-23C-expA-rep1,29988152,Other,Col-0,seedlings,32686739,0.8290000000000001,5/3/2018,Seedling,WholePlant,WholePlant,4.590524,-26.38340775255557,-68.41389920605542
ERX2297602,PRJEB24412,col0-12-days-23C-expA-rep3,29988152,Other,Col-0,seedlings,23397444,0.86,5/3/2018,Seedling,WholePlant,WholePlant,3.744898,-20.98483905095407,-71.54447903610568
ERX2297607,PRJEB24412,pcp-9-days-16C+3-days-23C-rep3,29988152,pcp,Col-0,seedlings,50766841,0.947,5/3/2018,Seedling,WholePlant,WholePlant,9.53511,-25.024832101011626,-58.103699750598
ERX2297608,PRJEB24412,pcp-9-days-23C+3-days-16C-rep1,29988152,pcp,Col-0,seedlings,50307767,0.952,5/3/2018,Seedling,WholePlant,WholePlant,4.363751,-19.4746369889844,-62.41563359391329
ERX2297609,PRJEB24412,pcp-9-days-23C+3-days-16C-rep2,29988152,pcp,Col-0,seedlings,43991403,0.951,5/3/2018,Seedling,WholePlant,WholePlant,4.208873,-17.04069798215383,-65.5030416465341
ERX2297610,PRJEB24412,pcp-9-days-23C+3-days-16C-rep3,29988152,pcp,Col-0,seedlings,42284016,0.956,5/3/2018,Seedling,WholePlant,WholePlant,5.08759,-18.211797252396142,-65.470232835403
ERX2297611,PRJEB24412,pcp-9days-16C-rep1,29988152,pcp,Col-0,seedlings,54491682,0.8490000000000001,5/3/2018,Seedling,WholePlant,WholePlant,5.621598,-7.537533403957501,-63.34014971511041
ERX2297612,PRJEB24412,pcp-9days-16C-rep2,29988152,pcp,Col-0,seedlings,53164725,0.923,5/3/2018,Seedling,WholePlant,WholePlant,6.995743,-10.202432357452834,-59.076162900104876
ERX2297613,PRJEB24412,pcp-9days-16C-rep3,29988152,pcp,Col-0,seedlings,50106245,0.945,5/3/2018,Seedling,WholePlant,WholePlant,5.611095,-12.415729209921748,-56.711490584491
ERX2297614,PRJEB24412,pcp-9days-23C-rep1,29988152,pcp,Col-0,seedlings,49287105,0.945,5/3/2018,Seedling,WholePlant,WholePlant,5.581641,-23.205367398175888,-59.59601178147398
ERX2297615,PRJEB24412,pcp-9days-23C-rep2,29988152,pcp,Col-0,seedlings,51113072,0.947,5/3/2018,Seedling,WholePlant,WholePlant,3.506038,-23.60993578930266,-57.48886890138744
ERX2297616,PRJEB24412,pcp-9days-23C-rep3,29988152,pcp,Col-0,seedlings,46468379,0.946,5/3/2018,Seedling,WholePlant,WholePlant,4.883848,-20.29632603948125,-61.1565677011008
ERX2329593,PRJEB24752,Papilla_24h_1_p,29808023,wild type,Col-0,stigma,23260062,0.868,5/3/2018,Stigma,Reproductive,Above,109.103531,29.945249426077694,9.356981515990773
ERX2329594,PRJEB24752,Papilla_24h_2_p,29808023,wild type,Col-0,stigma,20275932,0.9,5/3/2018,Stigma,Reproductive,Above,97.797134,34.77460568321915,12.01522133839716
ERX2329595,PRJEB24752,Papilla_24h_3_p,29808023,wild type,Col-0,stigma,23949108,0.902,5/3/2018,Stigma,Reproductive,Above,99.867172,29.04035252557149,11.07214572621809
ERX2329596,PRJEB24752,Papilla_48h_1_p,29808023,wild type,Col-0,stigma,22596598,0.856,5/3/2018,Stigma,Reproductive,Above,95.889664,33.658700792189855,19.739722146414778
ERX2329597,PRJEB24752,Papilla_48h_2_p,29808023,wild type,Col-0,stigma,24415420,0.88,5/3/2018,Stigma,Reproductive,Above,85.660393,22.94099750791335,5.630246076845657
ERX2329598,PRJEB24752,Papilla_48h_3_p,29808023,wild type,Col-0,stigma,25779757,0.919,5/3/2018,Stigma,Reproductive,Above,83.544792,33.71239867820427,26.983227756353816
ERX2329599,PRJEB24752,Papilla_72h_1_p,29808023,wild type,Col-0,stigma,26299899,0.901,5/3/2018,Stigma,Reproductive,Above,49.371517,40.47574014630689,27.835623420906618
ERX2329600,PRJEB24752,Papilla_72h_2_p,29808023,wild type,Col-0,stigma,25829222,0.88,5/3/2018,Stigma,Reproductive,Above,58.365097,30.20385888494521,25.034234853949943
ERX2329601,PRJEB24752,Papilla_72h_3_p,29808023,wild type,Col-0,stigma,24018959,0.882,5/3/2018,Stigma,Reproductive,Above,56.306953,32.27420319143581,25.23225357238407
ERX2338277,PRJEB24873,T0 in fd-2 apices biorep1,30770462,fd-2,Col-0,apices,45580969,0.836,2/26/2019,Shoot,Vegetative,Above,5.650969,-58.55020371230399,-16.371082578603538
ERX2338278,PRJEB24873,T0 in fd-2 apices biorep2,30770462,fd-2,Col-0,apices,45451854,0.797,2/26/2019,Shoot,Vegetative,Above,5.865777,-58.90410005753696,-17.26411190090657
ERX2338279,PRJEB24873,T0 in fd-2 apices biorep3,30770462,fd-2,Col-0,apices,43039723,0.775,2/26/2019,Shoot,Vegetative,Above,4.919919,-60.112799232297114,-11.323396895070097
ERX2338280,PRJEB24873,T0 pFD::GFP:FD in fd-2 apices biorep1,30770462,pFD::GFP:FD,Col-0,apices,40394140,0.8220000000000001,2/26/2019,Shoot,Vegetative,Above,5.990577,-54.956658082602516,-25.010986748123383
ERX2338281,PRJEB24873,T0 pFD::GFP:FD in fd-2 apices biorep2,30770462,pFD::GFP:FD,Col-0,apices,38737385,0.764,2/26/2019,Shoot,Vegetative,Above,3.753005,-53.71310546417449,-29.95188525982691
ERX2338282,PRJEB24873,T0 pFD::GFP:FD in fd-2 apices biorep3,30770462,pFD::GFP:FD,Col-0,apices,41568112,0.809,2/26/2019,Shoot,Vegetative,Above,5.721338,-57.434642929230996,-25.33962964193169
ERX2338283,PRJEB24873,T1 in fd-2 apices biorep1,30770462,fd-2,Col-0,apices,44000055,0.841,2/26/2019,Shoot,Vegetative,Above,5.228906,-59.498228625431125,-16.981740921497583
ERX2338284,PRJEB24873,T1 in fd-2 apices biorep2,30770462,fd-2,Col-0,apices,44864213,0.83,2/26/2019,Shoot,Vegetative,Above,6.091149,-60.53001853747414,-15.947717546245805
ERX2338285,PRJEB24873,T1 in fd-2 apices biorep3,30770462,fd-2,Col-0,apices,39346625,0.7809999999999999,2/26/2019,Shoot,Vegetative,Above,5.287798,-59.102922400921074,-16.128708419930184
ERX2338286,PRJEB24873,T1 pFD::GFP:FD in fd-2 apices biorep1,30770462,pFD::GFP:FD,Col-0,apices,37968788,0.7829999999999999,2/26/2019,Shoot,Vegetative,Above,5.054657,-55.47642738234409,-24.838858976725405
ERX2338287,PRJEB24873,T1 pFD::GFP:FD in fd-2 apices biorep2,30770462,pFD::GFP:FD,Col-0,apices,39701293,0.7829999999999999,2/26/2019,Shoot,Vegetative,Above,4.310213,-55.58112178884328,-22.03350601760706
ERX2338288,PRJEB24873,T1 pFD::GFP:FD in fd-2 apices biorep3,30770462,pFD::GFP:FD,Col-0,apices,34315473,0.778,2/26/2019,Shoot,Vegetative,Above,4.350782,-54.47933353925366,-23.021665024754316
ERX2338290,PRJEB24873,T2 in fd-2 apices biorep2,30770462,fd-2,Col-0,apices,30150889,0.775,2/26/2019,Shoot,Vegetative,Above,4.69934,-54.331171279899266,-16.689443096176255
ERX2338292,PRJEB24873,T2 pFD::GFP:FD in fd-2 apices biorep1,30770462,pFD::GFP:FD,Col-0,apices,35336645,0.835,2/26/2019,Shoot,Vegetative,Above,5.616526,-57.681305429952516,-19.16112475751877
ERX2338293,PRJEB24873,T2 pFD::GFP:FD in fd-2 apices biorep2,30770462,pFD::GFP:FD,Col-0,apices,27198930,0.78,2/26/2019,Shoot,Vegetative,Above,5.874563,-51.36736772359018,-23.67129151942324
ERX2338294,PRJEB24873,T2 pFD::GFP:FD in fd-2 apices biorep3,30770462,pFD::GFP:FD,Col-0,apices,28180349,0.759,2/26/2019,Shoot,Vegetative,Above,4.089422,-51.547979746816154,-22.291266312605725
ERX2338298,PRJEB24873,T3 pFD::GFP:FD in fd-2 apices biorep1,30770462,pFD::GFP:FD,Col-0,apices,36381467,0.757,2/26/2019,Shoot,Vegetative,Above,4.140931,-54.032450110610824,-24.645992860414445
ERX2338299,PRJEB24873,T3 pFD::GFP:FD in fd-2 apices biorep2,30770462,pFD::GFP:FD,Col-0,apices,32246359,0.775,2/26/2019,Shoot,Vegetative,Above,4.927229,-52.37122174767401,-25.078911704648355
ERX2338300,PRJEB24873,T3 pFD::GFP:FD in fd-2 apices biorep3,30770462,pFD::GFP:FD,Col-0,apices,34259420,0.8109999999999999,2/26/2019,Shoot,Vegetative,Above,4.360805,-54.123278108686044,-19.801985406500073
ERX2338304,PRJEB24873,T5 pFD::GFP:FD in fd-2 apices biorep1,30770462,pFD::GFP:FD,Col-0,apices,31501019,0.787,2/26/2019,Shoot,Vegetative,Above,4.32388,-47.90660278798094,-29.508728897910757
ERX2338305,PRJEB24873,T5 pFD::GFP:FD in fd-2 apices biorep2,30770462,pFD::GFP:FD,Col-0,apices,31292383,0.777,2/26/2019,Shoot,Vegetative,Above,4.407457,-52.080274445486296,-21.533596769557025
ERX2338306,PRJEB24873,T5 pFD::GFP:FD in fd-2 apices biorep3,30770462,pFD::GFP:FD,Col-0,apices,40537985,0.865,2/26/2019,Shoot,Vegetative,Above,4.442129,-57.198316525306126,-18.630799789013224
ERX2405537,PRJEB8944,RNA-seq-Col-0-R1,26721861,wild type,Col-0,seedlings,11796446,0.846,3/1/2018,Seedling,WholePlant,WholePlant,17.626022,-39.45767363884441,13.655798803440817
ERX2405538,PRJEB8944,RNA-seq-Col-0-R2,26721861,wild type,Col-0,seedlings,12384249,0.855,3/1/2018,Seedling,WholePlant,WholePlant,11.697426,-41.78808091828632,9.588116726165234
ERX2405539,PRJEB8944,RNA-seq-Col-0-R3,26721861,wild type,Col-0,seedlings,10724558,0.852,3/1/2018,Seedling,WholePlant,WholePlant,13.462182,-36.98157318874555,3.8778883315555177
ERX2405540,PRJEB8944,RNA-seq-trb1-R1,26721861,trb1-1,Col-0,seedlings,12429210,0.855,3/1/2018,Seedling,WholePlant,WholePlant,8.907077,-38.50392454091412,1.1065898156525005
ERX2405541,PRJEB8944,RNA-seq-trb1-R2,26721861,trb1-1 point,Col-0,seedlings,12061442,0.868,3/1/2018,Seedling,WholePlant,WholePlant,12.530457,-33.9278629714079,-4.016772597780966
ERX2405542,PRJEB8944,RNA-seq-trb1-R3,26721861,trb1-1,Col-0,seedlings,9993376,0.86,3/1/2018,Seedling,WholePlant,WholePlant,8.930791,-28.439887581635197,-1.7172538611914074
ERX2405543,PRJEB8944,RNA-seq-trb3-R1,26721861,trb3-1,Col-0,seedlings,9683529,0.848,3/1/2018,Seedling,WholePlant,WholePlant,14.138005,-35.55828378518766,4.1437214222726615
ERX2405544,PRJEB8944,RNA-seq-trb3-R2,26721861,trb3-1,Col-0,seedlings,9704700,0.87,3/1/2018,Seedling,WholePlant,WholePlant,15.94667,-36.72388185978292,11.547745626676209
ERX2405545,PRJEB8944,RNA-seq-trb3-R3,26721861,trb3-1,Col-0,seedlings,11737009,0.855,3/1/2018,Seedling,WholePlant,WholePlant,14.925126,-39.557334236942715,4.239955613710786
ERX2405547,PRJEB8944,RNA-seq-trb1-trb3-R2,26721861,trb1-1 trb3-1,Col-0,seedlings,11653420,0.848,3/1/2018,Seedling,WholePlant,WholePlant,8.727683,-37.4650434568504,-4.227203832086757
ERX2405548,PRJEB8944,RNA-seq-trb1-trb3-R3,26721861,trb1-1 trb3-1,Col-0,seedlings,12272665,0.845,3/1/2018,Seedling,WholePlant,WholePlant,9.045565,-38.619066269379275,1.00692050579352
ERX2405549,PRJEB8944,RNA-seq-lhp1-R1,26721861,lhp1-1,Col-0,seedlings,11782871,0.862,3/1/2018,Seedling,WholePlant,WholePlant,17.857695,-38.969389072511156,7.882459818688452
ERX2405550,PRJEB8944,RNA-seq-lhp1-R2,26721861,lhp1-3,Col-0,seedlings,10388935,0.861,3/1/2018,Seedling,WholePlant,WholePlant,14.798405,-33.85966783545182,-5.437465135230067
ERX2405551,PRJEB8944,RNA-seq-lhp1-R3,26721861,lhp1-3,Col-0,seedlings,11418915,0.847,3/1/2018,Seedling,WholePlant,WholePlant,10.32567,-33.02152862332624,-12.191550326802233
ERX2405553,PRJEB8944,RNA-seq-trb1-lhp1-R2,26721861,trb1-1 lhp1-3,Col-0,seedlings,13445173,0.7929999999999999,3/1/2018,Seedling,WholePlant,WholePlant,10.593011,-42.5731225271085,15.81544974663686
ERX2405554,PRJEB8944,RNA-seq-trb1-lhp1-R3,26721861,trb1-1 lhp1-3,Col-0,seedlings,10956281,0.7879999999999999,3/1/2018,Seedling,WholePlant,WholePlant,13.317601,-37.059747503616144,19.958744295336185
ERX2405556,PRJEB8944,RNA-seq-trb3-lhp1-R2,26721861,trb3-1 lhp1-3,Col-0,seedlings,12208166,0.767,3/1/2018,Seedling,WholePlant,WholePlant,15.873128,-39.09433555509564,15.62864555061216
ERX2405557,PRJEB8944,RNA-seq-trb3-lhp1-R3,26721861,trb3-1 lhp1-3,Col-0,seedlings,11522010,0.7609999999999999,3/1/2018,Seedling,WholePlant,WholePlant,17.386959,-35.728015106171995,15.231505662300078
ERX2405558,PRJEB8944,RNA-seq-trb1-trb3-lhp1-R1,26721861,trb1-1 trb3-1 lhp1-3,Col-0,seedlings,13697330,0.78,3/1/2018,Seedling,WholePlant,WholePlant,15.635823,-47.3151877678903,32.137772228014775
ERX2405559,PRJEB8944,RNA-seq-trb1-trb3-lhp1-R2,26721861,trb1-1 trb3-1 lhp1-3,Col-0,seedlings,10636410,0.79,3/1/2018,Seedling,WholePlant,WholePlant,15.017918,-41.44803938631979,29.159989206919747
ERX2405560,PRJEB8944,RNA-seq-trb1-trb3-lhp1-R3,26721861,trb1-1 trb3-1 lhp1-3,Col-0,seedlings,11399913,0.7959999999999999,3/1/2018,Seedling,WholePlant,WholePlant,14.661583,-42.25880494024727,39.95372116919015
ERX2465800,PRJEB20420,mRNA-Seq_Col-0_light1,30016624,wild type,Col-0,seedlings,28974779,0.919,9/13/2018,Seedling,WholePlant,WholePlant,4.683181,42.380164891180755,-78.84974165160217
ERX2465801,PRJEB20420,mRNA-Seq_Col-0_light2,30016624,wild type,Col-0,seedlings,4191555,0.831,9/13/2018,Seedling,WholePlant,WholePlant,0.0,215.3631382943504,-66.53034597143609
ERX2465802,PRJEB20420,mRNA-Seq_Col-0_dark1,30016624,wild type,Col-0,seedlings,10140174,0.87,9/13/2018,Seedling,WholePlant,WholePlant,5.824537,106.59420866694012,-21.508953570389313
ERX2465803,PRJEB20420,mRNA-Seq_Col-0_dark2,30016624,wild type,Col-0,seedlings,19406740,0.88,9/13/2018,Seedling,WholePlant,WholePlant,16.910709,67.95799121080881,-17.317927800208903
ERX2465804,PRJEB20420,mRNA-Seq_Col-0_dark3,30016624,wild type,Col-0,seedlings,18234772,0.89,9/13/2018,Seedling,WholePlant,WholePlant,16.705473,81.9130197539896,-9.358716554683376
ERX2465805,PRJEB20420,mRNA-Seq_hyl-1-2_light1,30016624,hyl-1-2,Other,seedlings,15586211,0.89,9/13/2018,Seedling,WholePlant,WholePlant,4.045865,46.55350878230899,-58.086338551888126
ERX2465806,PRJEB20420,mRNA-Seq_hyl-1-2_light2,30016624,hyl-1-2,Other,seedlings,17924385,0.898,9/13/2018,Seedling,WholePlant,WholePlant,6.625601,39.30254539976771,-64.1805495907264
ERX2465807,PRJEB20420,mRNA-Seq_hyl-1-2_light3,30016624,hyl-1-2,Other,seedlings,22749876,0.899,9/13/2018,Seedling,WholePlant,WholePlant,9.889768,6.131556520868519,-55.65468331308662
ERX2465808,PRJEB20420,mRNA-Seq_hyl-1-2_dark1,30016624,hyl-1-2,Other,seedlings,17124648,0.8540000000000001,9/13/2018,Seedling,WholePlant,WholePlant,28.493889,110.07410466403879,4.180010803210912
ERX2465809,PRJEB20420,mRNA-Seq_hyl-1-2_dark2,30016624,hyl-1-2,Other,seedlings,19244646,0.855,9/13/2018,Seedling,WholePlant,WholePlant,24.706188,137.68880004632294,4.333166919400479
ERX2465810,PRJEB20420,mRNA-Seq_hyl-1-2_dark3,30016624,hyl-1-2,Other,seedlings,17174087,0.8590000000000001,9/13/2018,Seedling,WholePlant,WholePlant,43.439201,100.68359907947024,5.647697230521302
ERX248584,PRJEB1937,E-MTAB-1668:24hCS-RNA,"25118256, 31548561, 28835627",Other,Col-0,shoot,30446305,0.892,6/10/2013,Shoot,Vegetative,Above,6.576098,-39.011812236155066,-40.969185861595435
ERX248585,PRJEB1937,E-MTAB-1668:24hPS-RNA,"25118256, 31548561, 28835627",Other,Col-0,shoot,35167472,0.872,6/10/2013,Shoot,Vegetative,Above,6.698349,-37.29697021835833,-38.665358225110616
ERX248586,PRJEB1937,E-MTAB-1668:24hPR-RNA,"25118256, 31548561, 28835627",Other,Col-0,root,34824910,0.787,6/10/2013,Root,Vegetative,Below,36.975552,-46.139074201739724,158.46011804956058
ERX248587,PRJEB1937,E-MTAB-1668:24hCR-RNA,"25118256, 31548561, 28835627",Other,Col-0,root,31087306,0.892,6/10/2013,Root,Vegetative,Below,37.364326,-45.00016621505702,159.39865144568282
ERX2578529,PRJEB26576,Kas-2 rep 1_p,30923114,wild type,Kas-2,rosette leaf,61228373,0.821,7/3/2018,Leaf,Vegetative,Above,11.504515,-38.51772771308915,-53.77950406732378
ERX2578531,PRJEB26576,Kas-2 rep 3_p,30923114,wild type,Kas-2,rosette leaf,50141791,0.7609999999999999,7/3/2018,Leaf,Vegetative,Above,9.598671,-24.920200973570505,-59.521153442387906
ERX2578533,PRJEB26576,NIL rep 2_p,30923114,wild type,Ler/Kas-2 hybrid,rosette leaf,22735714,0.845,7/3/2018,Leaf,Vegetative,Above,24.568018,-23.136739658545576,-47.37595945956937
ERX2578535,PRJEB26576,sulki1 rep 1_p,30923114,sulki1-8 mutant,Ler/Kas-2 hybrid,rosette leaf,67324308,0.826,7/3/2018,Leaf,Vegetative,Above,13.683613,-37.8742254583207,-54.77122955445805
ERX2578536,PRJEB26576,sulki1 rep 2_p,30923114,sulki1-8 mutant,Ler/Kas-2 hybrid,rosette leaf,64870219,0.8370000000000001,7/3/2018,Leaf,Vegetative,Above,15.229855,-37.29944855074085,-56.08518361653498
ERX2578537,PRJEB26576,sulki1 rep 3_p,30923114,sulki1-8 mutant,Ler/Kas-2 hybrid,rosette leaf,43169907,0.787,7/3/2018,Leaf,Vegetative,Above,12.480072,-21.982870704228937,-66.14780566777854
ERX2593880,PRJEB26705,Col-0_1_s,30923114,wild type,Col-0,shoot apex,13592494,0.928,7/3/2018,Shoot,Vegetative,Above,4.961184,-37.483120650904226,-41.82737857535331
ERX2593881,PRJEB26705,Col-0_2_s,30923114,wild type,Col-0,shoot apex,16302915,0.923,7/3/2018,Shoot,Vegetative,Above,4.944542,-38.44215661347658,-42.84569640838106
